keyword,volume,seo_difficulty,cpc_usd,paid_difficulty,competition,intent,sources,market,language,extracted_at
declaratoria de herederos,1600,12,0.5,33,0.33,Informational,Ubersuggest seed,Argentina,es,2026-09-24
boletín oficial edictos declaratoria de herederos,480,20,0.38,33,0.33,Navigational,Ubersuggest match_keywords,Argentina,es,2026-09-24
después de la declaratoria de herederos que sigue,480,5,0.4,30,0.3,Informational,Ubersuggest match_keywords,Argentina,es,2026-09-24
que es declaratoria de herederos,480,8,0.07,39,0.39,Informational,Ubersuggest match_keywords | Google autocomplete prepositions,Argentina,es,2026-09-24
que es una declaratoria de herederos,390,18,0.085,42,0.42,,Ubersuggest match_keywords,Argentina,es,2026-09-24
declaratoria de herederos precio,210,7,0.39,52,0.52,Informational,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
edictos declaratoria de herederos boletín oficial córdoba,210,16,0.34,14,0.14,Navigational,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
la declaratoria de herederos tiene vencimiento,210,6,0.26,26,0.26,Informational,Ubersuggest match_keywords | Google autocomplete suggestions | Google autocomplete prepositions,Argentina,es,2026-09-24
como buscar una declaratoria de herederos,170,12,0.33,32,0.32,Informational,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
declaratoria de herederos precio 2024,170,9,0.22,47,0.47,Commercial,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
edictos declaratoria de herederos boletin oficial cordoba,170,15,0.27,27,0.27,Navigational,Ubersuggest match_keywords,Argentina,es,2026-09-24
inscripcion declaratoria de herederos,170,12,0.58,16,0.16,Navigational,Ubersuggest match_keywords,Argentina,es,2026-09-24
inscripción declaratoria de herederos,170,13,0.505,15,0.15,Navigational,Ubersuggest match_keywords,Argentina,es,2026-09-24
cuanto sale una declaratoria de herederos,140,6,0.14,44,0.44,Commercial,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
declaratoria de herederos argentina,140,12,0.28,48,0.48,Informational,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
declaratoria de herederos gratis,140,14,0.13,55,0.55,Commercial,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
declaratoria de herederos en argentina,110,12,0.12,42,0.42,Commercial,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
declaratoria de herederos modelo,90,15,0.235,30,0.3,,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
declaratoria de herederos precio 2024 argentina,90,20,0,48,0.48,,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
declaratoria de herederos santa fe,90,12,0,23,0.23,,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
inscripcion de declaratoria de herederos,90,11,0.385,25,0.25,Navigational,Ubersuggest match_keywords,Argentina,es,2026-09-24
inscripción declaratoria de herederos santa fe,90,11,0,10,0.1,Commercial,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
se puede alquilar una propiedad sin declaratoria de herederos argentina,90,11,0.485,45,0.45,Commercial,Ubersuggest match_keywords | Google autocomplete prepositions,Argentina,es,2026-09-24
se puede vender auto sin declaratoria de herederos,90,11,0.35,32,0.32,Commercial,Ubersuggest match_keywords | Google autocomplete prepositions,Argentina,es,2026-09-24
con la declaratoria de herederos se puede vender un auto,70,13,0.305,24,0.24,,Ubersuggest match_keywords | Google autocomplete prepositions,Argentina,es,2026-09-24
declaratoria de herederos cordoba,70,21,0.255,50,0.5,,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
declaratoria de herederos inscripción por tracto abreviado,70,17,0.27,39,0.39,,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
boletín oficial edictos declaratoria de herederos san juan,50,6,0,3,0.03,,Ubersuggest match_keywords,Argentina,es,2026-09-24
cuanto cuesta una declaratoria de herederos en argentina,50,20,0.185,48,0.48,,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
cuanto cuesta una declaratoria de herederos en córdoba,50,21,0.43,52,0.52,,Ubersuggest match_keywords,Argentina,es,2026-09-24
